"","FinalID","OriginalTraitValue","ConTemp","Kelvin","Tref","B0","T0","Th","E","Tm","Eh","Tpk"
"163","MTD3369",0.79953337,26.993076,300.143076,285.152273,0.14657855,285.152273,297.26556,0.65,309.09716,1.3,300.143076
"164","MTD3369",0.7633383,30.11344,303.26344,285.152273,0.14657855,285.152273,297.26556,0.65,309.09716,1.3,300.143076
"165","MTD3369",0.6093857,35.94716,309.09716,285.152273,0.14657855,285.152273,297.26556,0.65,309.09716,1.3,300.143076
"166","MTD3370",0.24934733,12.035105,285.185105,285.185105,0.24934733,285.185105,294.146616,0.65,309.17768,1.3,303.127608
"167","MTD3370",0.20308399,15.030473,288.180473,285.185105,0.24934733,285.185105,294.146616,0.65,309.17768,1.3,303.127608
"168","MTD3370",0.16715638,17.994795,291.144795,285.185105,0.24934733,285.185105,294.146616,0.65,309.17768,1.3,303.127608
"169","MTD3370",2.506423,20.996616,294.146616,285.185105,0.24934733,285.185105,294.146616,0.65,309.17768,1.3,303.127608
"170","MTD3370",3.632387,23.979282,297.129282,285.185105,0.24934733,285.185105,294.146616,0.65,309.17768,1.3,303.127608
"171","MTD3370",5.5089,27.005007,300.155007,285.185105,0.24934733,285.185105,294.146616,0.65,309.17768,1.3,303.127608
"172","MTD3370",5.997366,29.977608,303.127608,285.185105,0.24934733,285.185105,294.146616,0.65,309.17768,1.3,303.127608
"173","MTD3370",5.70937,36.02768,309.17768,285.185105,0.24934733,285.185105,294.146616,0.65,309.17768,1.3,303.127608
"174","MTD3371",0.60927874,12.009578,285.159578,285.159578,0.60927874,285.159578,294.156884,0.65,309.130156,1.3,302.286196
"175","MTD3371",0.5526797,15.035993,288.185993,285.159578,0.60927874,285.159578,294.156884,0.65,309.130156,1.3,302.286196
"176","MTD3371",0.7223966,18.003561,291.153561,285.159578,0.60927874,285.159578,294.156884,0.65,309.130156,1.3,302.286196
"177","MTD3371",1.1799624,21.006884,294.156884,285.159578,0.60927874,285.159578,294.156884,0.65,309.130156,1.3,302.286196
"178","MTD3371",1.8908935,26.167652,299.317652,285.159578,0.60927874,285.159578,294.156884,0.65,309.130156,1.3,302.286196
"179","MTD3371",2.1223037,29.136196,302.286196,285.159578,0.60927874,285.159578,294.156884,0.65,309.130156,1.3,302.286196
"180","MTD3371",0.7224367,35.980156,309.130156,285.159578,0.60927874,285.159578,294.156884,0.65,309.130156,1.3,302.286196
"181","MTD3372",0.13618936,12.0645275,285.2145275,285.2145275,0.13618936,285.2145275,309.103167,0.65,309.103167,1.3,303.188645
"182","MTD3372",0.06946854,14.997154,288.147154,285.2145275,0.13618936,285.2145275,309.103167,0.65,309.103167,1.3,303.188645
"183","MTD3372",0.1774386,17.994957,291.144957,285.2145275,0.13618936,285.2145275,309.103167,0.65,309.103167,1.3,303.188645
"184","MTD3372",0.56302875,20.997145,294.147145,285.2145275,0.13618936,285.2145275,309.103167,0.65,309.103167,1.3,303.188645
"185","MTD3372",0.5579478,23.961954,297.111954,285.2145275,0.13618936,285.2145275,309.103167,0.65,309.103167,1.3,303.188645
"186","MTD3372",0.93330926,26.932768,300.082768,285.2145275,0.13618936,285.2145275,309.103167,0.65,309.103167,1.3,303.188645
"187","MTD3372",1.9562371,30.038645,303.188645,285.2145275,0.13618936,285.2145275,309.103167,0.65,309.103167,1.3,303.188645
"188","MTD3372",0.9898281,35.953167,309.103167,285.2145275,0.13618936,285.2145275,309.103167,0.65,309.103167,1.3,303.188645
"199","MTD3400",1.6299337,9.975269,283.125269,283.125269,1.6299337,283.125269,293.057503,0.65,308.08527,1.3,298.104195
"200","MTD3400",2.0074563,15.027102,288.177102,283.125269,1.6299337,283.125269,293.057503,0.65,308.08527,1.3,298.104195
"201","MTD3400",3.8080986,19.907503,293.057503,283.125269,1.6299337,283.125269,293.057503,0.65,308.08527,1.3,298.104195
"202","MTD3400",6.615703,24.954195,298.104195,283.125269,1.6299337,283.125269,293.057503,0.65,308.08527,1.3,298.104195
"203","MTD3400",5.819377,29.924301,303.074301,283.125269,1.6299337,283.125269,293.057503,0.65,308.08527,1.3,298.104195
"204","MTD3400",5.6099753,34.93527,308.08527,283.125269,1.6299337,283.125269,293.057503,0.65,308.08527,1.3,298.104195
"215","MTD3410",6.1785564,15.02468,288.17468,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"216","MTD3410",6.924565,15.023793,288.173793,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"217","MTD3410",7.2442827,15.023414,288.173414,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"218","MTD3410",8.789491,14.98599,288.13599,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"219","MTD3410",6.245117,20.006807,293.156807,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"220","MTD3410",6.5115485,20.00649,293.15649,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"221","MTD3410",8.536428,20.004084,293.154084,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"222","MTD3410",8.483142,20.004148,293.154148,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"223","MTD3410",9.927181,21.995314,295.145314,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"224","MTD3410",10.779762,21.9943,295.1443,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"225","MTD3410",10.833143,22.029825,295.179825,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"226","MTD3410",11.206053,21.993793,295.143793,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"227","MTD3410",10.627963,25.019392,298.169392,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"228","MTD3410",11.693594,24.982538,298.132538,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"229","MTD3410",12.226458,24.981905,298.131905,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"230","MTD3410",12.75932,24.981272,298.131272,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"231","MTD3410",12.293017,29.964033,303.114033,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"232","MTD3410",13.891702,29.99772,303.14772,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"233","MTD3410",13.998275,29.997593,303.147593,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"234","MTD3410",14.957428,29.996454,303.146454,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"235","MTD3410",15.447624,33.981636,307.131636,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"236","MTD3410",16.246918,33.980686,307.130686,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
"237","MTD3410",16.673208,33.98018,307.13018,288.13599,8.789491,288.13599,293.154148,0.65,307.131636,1.3,307.13018
